hospital_id,date,occupied_beds,occupied_icu,ventilators_in_use,oxygen_cylinders_available,doctors_on_duty,nurses_on_duty
1,2025-08-07,580,38,23,213,107,308
1,2025-08-08,571,41,25,233,172,404
1,2025-08-09,592,46,27,214,161,385
1,2025-08-10,566,45,33,211,154,363
1,2025-08-11,527,41,27,228,183,483
1,2025-08-12,521,42,25,245,157,442
1,2025-08-13,541,39,23,215,171,434
1,2025-08-14,570,42,23,242,134,270
1,2025-08-15,596,40,26,193,82,241
1,2025-08-16,571,40,25,242,159,430
1,2025-08-17,527,40,24,234,143,293
1,2025-08-18,536,38,22,214,163,345
1,2025-08-19,564,42,29,189,144,360
1,2025-08-20,540,43,26,231,140,366
1,2025-08-21,594,49,31,242,80,184
1,2025-08-22,609,40,24,213,156,417
1,2025-08-23,528,42,26,251,143,419
1,2025-08-24,529,36,23,224,137,276
1,2025-08-25,521,39,25,230,180,468
1,2025-08-26,566,40,22,217,131,350
1,2025-08-27,594,43,28,227,157,437
1,2025-08-28,582,44,27,223,148,311
1,2025-08-29,572,41,22,223,109,274
1,2025-08-30,548,40,23,251,153,402
1,2025-08-31,576,40,25,202,146,393
1,2025-09-01,548,39,24,256,173,467
1,2025-09-02,606,39,28,203,173,389
1,2025-09-03,641,43,24,183,165,484
1,2025-09-04,545,44,27,219,168,427
1,2025-09-05,543,41,28,214,170,453
2,2025-08-07,151,8,5,69,151,368
2,2025-08-08,167,8,5,46,169,448
2,2025-08-09,157,7,4,43,98,228
2,2025-08-10,162,7,4,35,148,412
2,2025-08-11,150,6,4,54,108,302
2,2025-08-12,146,7,4,81,142,374
2,2025-08-13,152,8,4,66,138,345
2,2025-08-14,166,8,5,67,110,264
2,2025-08-15,160,8,4,49,172,363
2,2025-08-16,157,8,4,75,166,406
2,2025-08-17,150,8,4,70,141,405
2,2025-08-18,148,7,4,74,168,442
2,2025-08-19,144,7,4,50,135,340
2,2025-08-20,163,8,4,54,87,210
2,2025-08-21,152,8,4,87,67,183
2,2025-08-22,158,8,5,53,178,452
2,2025-08-23,148,7,4,71,159,410
2,2025-08-24,143,7,4,53,134,300
2,2025-08-25,145,7,4,90,148,407
2,2025-08-26,157,8,5,86,134,295
2,2025-08-27,164,7,4,62,153,381
2,2025-08-28,162,8,5,62,161,340
2,2025-08-29,158,8,5,83,162,390
2,2025-08-30,152,7,4,74,160,437
2,2025-08-31,152,7,4,63,139,317
2,2025-09-01,152,8,6,59,186,462
2,2025-09-02,160,8,4,52,149,325
2,2025-09-03,159,8,5,68,151,370
2,2025-09-04,158,8,4,54,154,401
2,2025-09-05,148,7,4,59,146,343
3,2025-08-07,473,53,23,12,127,267
3,2025-08-08,483,56,24,15,83,209
3,2025-08-09,497,54,25,0,197,462
3,2025-08-10,452,52,22,11,106,257
3,2025-08-11,449,52,25,6,127,344
3,2025-08-12,420,54,21,15,113,323
3,2025-08-13,459,54,24,24,118,288
3,2025-08-14,479,57,25,18,85,215
3,2025-08-15,498,58,26,0,145,330
3,2025-08-16,485,57,26,0,189,563
3,2025-08-17,456,54,23,7,144,326
3,2025-08-18,421,53,23,16,183,523
3,2025-08-19,445,55,24,0,136,362
3,2025-08-20,489,55,24,1,176,522
3,2025-08-21,511,54,22,0,141,283
3,2025-08-22,488,55,23,0,164,378
3,2025-08-23,454,51,20,0,130,342
3,2025-08-24,437,53,25,9,117,300
3,2025-08-25,440,54,26,0,134,327
3,2025-08-26,489,56,25,3,148,370
3,2025-08-27,492,56,24,0,155,320
3,2025-08-28,481,59,26,0,188,414
3,2025-08-29,461,53,24,0,155,313
3,2025-08-30,437,51,20,34,136,395
3,2025-08-31,445,52,23,18,163,338
3,2025-09-01,470,53,24,21,172,355
3,2025-09-02,480,56,23,4,175,437
3,2025-09-03,501,59,25,0,130,349
3,2025-09-04,485,57,24,0,89,237
3,2025-09-05,431,51,23,28,157,379
4,2025-08-07,586,47,24,229,137,360
4,2025-08-08,615,48,24,239,119,354
4,2025-08-09,646,53,24,234,128,295
4,2025-08-10,626,47,23,256,155,420
4,2025-08-11,559,42,18,257,156,415
4,2025-08-12,572,45,18,271,139,343
4,2025-08-13,608,51,25,281,156,331
4,2025-08-14,614,47,24,274,150,433
4,2025-08-15,631,52,24,282,142,421
4,2025-08-16,634,48,22,245,137,391
4,2025-08-17,589,45,15,262,156,401
4,2025-08-18,588,40,20,256,174,511
4,2025-08-19,578,47,22,293,224,579
4,2025-08-20,662,50,25,239,153,363
4,2025-08-21,614,47,19,264,120,353
4,2025-08-22,603,49,23,274,179,468
4,2025-08-23,593,50,23,268,193,477
4,2025-08-24,553,47,23,277,137,305
4,2025-08-25,570,50,22,276,107,305
4,2025-08-26,623,49,24,248,116,286
4,2025-08-27,631,49,24,279,207,457
4,2025-08-28,644,52,24,231,118,324
4,2025-08-29,582,47,20,243,120,275
4,2025-08-30,548,45,19,302,182,399
4,2025-08-31,592,41,19,304,170,397
4,2025-09-01,591,51,22,235,167,406
4,2025-09-02,609,51,22,249,150,447
4,2025-09-03,634,49,23,248,137,306
4,2025-09-04,586,50,21,237,157,356
4,2025-09-05,596,44,18,262,194,555
5,2025-08-07,448,32,15,238,118,248
5,2025-08-08,440,35,15,253,168,481
5,2025-08-09,451,33,13,247,159,339
5,2025-08-10,443,33,16,223,191,449
5,2025-08-11,422,30,15,258,191,562
5,2025-08-12,386,30,13,260,155,321
5,2025-08-13,421,31,12,262,155,418
5,2025-08-14,456,34,15,253,140,390
5,2025-08-15,465,35,15,221,129,276
5,2025-08-16,458,30,13,246,155,331
5,2025-08-17,435,31,13,254,154,332
5,2025-08-18,419,30,12,260,141,332
5,2025-08-19,428,32,14,250,194,539
5,2025-08-20,453,31,13,245,127,330
5,2025-08-21,457,34,16,228,103,301
5,2025-08-22,468,32,15,245,101,280
5,2025-08-23,432,31,12,263,162,331
5,2025-08-24,419,29,10,280,139,351
5,2025-08-25,395,31,13,248,136,395
5,2025-08-26,442,31,13,278,154,322
5,2025-08-27,445,31,11,239,115,240
5,2025-08-28,441,32,14,243,190,464
5,2025-08-29,442,32,13,246,150,365
5,2025-08-30,443,30,11,257,141,312
5,2025-08-31,420,31,14,268,118,263
5,2025-09-01,453,32,13,244,188,400
5,2025-09-02,477,30,15,238,79,182
5,2025-09-03,438,33,15,264,149,413
5,2025-09-04,446,30,15,245,178,416
5,2025-09-05,439,30,12,250,148,418
6,2025-08-07,1185,92,51,249,138,277
6,2025-08-08,1227,100,62,236,125,337
6,2025-08-09,1300,93,63,254,133,334
6,2025-08-10,1236,92,53,240,117,264
6,2025-08-11,1128,94,52,259,175,482
6,2025-08-12,1169,90,59,275,205,454
6,2025-08-13,1180,90,54,277,124,298
6,2025-08-14,1294,98,58,241,186,434
6,2025-08-15,1258,102,56,229,175,488
6,2025-08-16,1251,97,54,254,212,441
6,2025-08-17,1182,91,50,264,136,375
6,2025-08-18,1125,97,58,253,88,230
6,2025-08-19,1184,99,58,264,99,210
6,2025-08-20,1227,97,55,228,154,380
6,2025-08-21,1236,99,63,260,163,409
6,2025-08-22,1294,97,56,246,148,343
6,2025-08-23,1235,98,61,232,139,375
6,2025-08-24,1150,91,50,257,142,287
6,2025-08-25,1206,93,55,276,170,463
6,2025-08-26,1259,103,61,238,187,524
6,2025-08-27,1238,100,59,247,186,395
6,2025-08-28,1272,100,60,243,146,436
6,2025-08-29,1241,97,60,242,189,425
6,2025-08-30,1218,90,54,252,166,353
6,2025-08-31,1145,90,55,278,156,456
6,2025-09-01,1202,94,45,269,140,370
6,2025-09-02,1234,95,58,222,189,450
6,2025-09-03,1281,98,53,222,148,307
6,2025-09-04,1209,95,49,251,90,224
6,2025-09-05,1168,92,58,253,192,525
7,2025-08-07,1242,146,80,279,153,409
7,2025-08-08,1281,154,85,300,148,330
7,2025-08-09,1301,150,68,276,118,327
7,2025-08-10,1211,159,85,295,163,336
7,2025-08-11,1186,145,75,313,129,335
7,2025-08-12,1125,139,74,318,162,345
7,2025-08-13,1252,155,82,283,201,587
7,2025-08-14,1283,161,84,260,182,431
7,2025-08-15,1345,161,87,236,182,448
7,2025-08-16,1243,155,76,292,149,298
7,2025-08-17,1252,157,69,271,81,221
7,2025-08-18,1133,143,72,307,127,320
7,2025-08-19,1174,145,74,306,195,431
7,2025-08-20,1292,155,78,263,119,301
7,2025-08-21,1326,170,86,263,154,441
7,2025-08-22,1309,165,77,241,157,387
7,2025-08-23,1169,150,83,296,143,329
7,2025-08-24,1199,148,71,284,101,262
7,2025-08-25,1184,155,82,295,103,296
7,2025-08-26,1284,142,78,273,152,321
7,2025-08-27,1284,158,90,274,142,312
7,2025-08-28,1241,159,73,287,172,420
7,2025-08-29,1230,153,78,290,137,386
7,2025-08-30,1182,149,80,315,134,340
7,2025-08-31,1228,137,66,304,100,285
7,2025-09-01,1276,146,72,276,149,301
7,2025-09-02,1318,174,87,264,70,163
7,2025-09-03,1340,153,91,274,147,438
7,2025-09-04,1273,159,77,288,154,420
7,2025-09-05,1181,146,73,289,165,339
8,2025-08-07,1018,170,118,408,165,348
8,2025-08-08,1079,157,101,368,134,295
8,2025-08-09,1049,169,119,363,210,555
8,2025-08-10,1008,158,110,385,151,412
8,2025-08-11,1072,153,105,389,131,357
8,2025-08-12,1012,155,81,374,212,567
8,2025-08-13,1058,172,113,363,98,208
8,2025-08-14,1131,153,90,369,122,329
8,2025-08-15,1107,169,99,348,116,268
8,2025-08-16,1074,159,109,358,148,399
8,2025-08-17,1045,150,86,369,117,285
8,2025-08-18,983,156,99,392,138,301
8,2025-08-19,979,143,91,396,141,296
8,2025-08-20,1035,165,98,363,191,405
8,2025-08-21,1110,159,103,331,156,361
8,2025-08-22,1034,174,117,354,175,394
8,2025-08-23,987,154,104,380,116,300
8,2025-08-24,916,147,96,401,161,438
8,2025-08-25,1020,161,102,381,186,444
8,2025-08-26,987,158,109,373,122,284
8,2025-08-27,1140,171,120,359,151,304
8,2025-08-28,1079,161,110,371,122,283
8,2025-08-29,972,152,115,395,155,434
8,2025-08-30,1011,152,92,396,141,303
8,2025-08-31,972,146,94,400,191,452
8,2025-09-01,1055,156,97,387,107,256
8,2025-09-02,1074,165,111,375,183,392
8,2025-09-03,1058,177,126,367,163,458
8,2025-09-04,1053,157,126,359,128,372
8,2025-09-05,1028,152,97,361,171,383
9,2025-08-07,677,106,69,295,138,384
9,2025-08-08,721,107,69,311,194,511
9,2025-08-09,726,109,72,306,113,291
9,2025-08-10,720,106,57,281,78,211
9,2025-08-11,634,100,55,327,134,314
9,2025-08-12,640,100,66,327,193,552
9,2025-08-13,666,106,60,308,145,294
9,2025-08-14,671,109,64,302,130,321
9,2025-08-15,735,111,58,321,187,541
9,2025-08-16,683,111,75,295,129,263
9,2025-08-17,663,106,63,323,135,270
9,2025-08-18,658,107,57,325,148,311
9,2025-08-19,675,118,80,295,174,500
9,2025-08-20,712,104,70,279,183,410
9,2025-08-21,713,111,65,306,158,333
9,2025-08-22,703,114,68,309,107,222
9,2025-08-23,704,103,71,305,159,424
9,2025-08-24,654,102,62,319,94,214
9,2025-08-25,659,104,72,303,157,448
9,2025-08-26,644,109,69,313,116,253
9,2025-08-27,693,111,67,281,161,452
9,2025-08-28,704,112,81,290,178,482
9,2025-08-29,697,109,71,305,121,244
9,2025-08-30,621,102,58,308,162,395
9,2025-08-31,613,101,62,319,152,437
9,2025-09-01,729,116,67,276,168,411
9,2025-09-02,714,116,83,280,142,396
9,2025-09-03,688,109,66,314,181,516
9,2025-09-04,694,105,74,299,221,547
9,2025-09-05,658,111,70,330,191,468
10,2025-08-07,1635,182,90,622,157,419
10,2025-08-08,1728,187,94,604,177,451
10,2025-08-09,1654,175,84,617,171,442
10,2025-08-10,1617,191,92,610,168,415
10,2025-08-11,1433,168,64,677,138,285
10,2025-08-12,1463,178,87,649,190,396
10,2025-08-13,1589,166,81,609,166,397
10,2025-08-14,1634,189,87,607,140,359
10,2025-08-15,1757,192,90,565,137,394
10,2025-08-16,1623,175,90,602,162,468
10,2025-08-17,1682,174,79,609,149,330
10,2025-08-18,1428,184,87,681,108,305
10,2025-08-19,1474,177,74,649,175,495
10,2025-08-20,1666,170,88,603,151,414
10,2025-08-21,1663,187,89,602,119,311
10,2025-08-22,1765,199,94,581,142,368
10,2025-08-23,1556,176,79,635,79,206
10,2025-08-24,1557,165,85,639,166,434
10,2025-08-25,1595,181,69,635,108,257
10,2025-08-26,1559,183,84,666,147,419
10,2025-08-27,1594,181,87,640,110,231
10,2025-08-28,1667,188,97,595,132,337
10,2025-08-29,1536,181,95,627,173,473
10,2025-08-30,1507,168,82,644,128,322
10,2025-08-31,1561,174,86,640,123,278
10,2025-09-01,1642,170,85,618,123,347
10,2025-09-02,1669,184,88,631,180,521
10,2025-09-03,1725,180,88,602,131,286
10,2025-09-04,1614,166,70,614,162,455
10,2025-09-05,1516,178,81,651,77,219
11,2025-08-07,1606,137,55,138,172,492
11,2025-08-08,1711,146,64,115,155,360
11,2025-08-09,1645,149,64,128,104,289
11,2025-08-10,1520,136,67,182,133,316
11,2025-08-11,1559,133,58,182,92,250
11,2025-08-12,1492,133,60,172,142,339
11,2025-08-13,1641,136,66,122,186,536
11,2025-08-14,1609,138,56,160,232,530
11,2025-08-15,1753,143,59,128,130,282
11,2025-08-16,1619,138,58,128,155,319
11,2025-08-17,1532,129,54,169,160,438
11,2025-08-18,1550,135,61,180,140,328
11,2025-08-19,1559,134,54,164,120,277
11,2025-08-20,1696,138,67,113,200,459
11,2025-08-21,1657,145,60,129,159,476
11,2025-08-22,1679,132,58,149,144,317
11,2025-08-23,1592,136,58,168,73,192
11,2025-08-24,1549,125,57,155,63,177
11,2025-08-25,1554,126,51,171,170,509
11,2025-08-26,1643,133,53,130,130,384
11,2025-08-27,1653,134,63,118,179,490
11,2025-08-28,1705,152,70,135,103,256
11,2025-08-29,1603,133,61,148,127,300
11,2025-08-30,1511,126,58,201,173,348
11,2025-08-31,1595,127,56,147,103,302
11,2025-09-01,1634,137,60,168,151,348
11,2025-09-02,1733,141,54,111,203,496
11,2025-09-03,1711,142,65,148,145,389
